bait,prey,distance,stage,pvalue
EXOSC5,DIS3,0.251625311809982,earlyS,0.513856296792938
EXOSC6,DIS3,0.206943065385615,earlyS,0.32340671210936
EXOSC8,DIS3,0.256168921858394,earlyS,0.532517599731814
EXOSC9,DIS3,0.171228714301917,earlyS,0.181491414310724
EXOSC2,DIS3,0.237609062086139,earlyS,0.454818042984318
EXOSC7,DIS3,0.184873646116018,earlyS,0.233173166461802
EXOSC1,EXOSC10,0.181994604645059,earlyS,0.221980109509442
EXOSC4,EXOSC10,0.210388664982993,earlyS,0.338250083808247
EXOSC5,EXOSC10,0.254625102033167,earlyS,0.526390285693001
EXOSC6,EXOSC10,0.245371064568533,earlyS,0.487354266770961
EXOSC8,EXOSC10,0.324988353595951,earlyS,0.742522441986069
EXOSC9,EXOSC10,0.208737522780471,earlyS,0.331359183521436
EXOSC2,EXOSC10,0.278923582747211,earlyS,0.614426192870712
EXOSC7,EXOSC10,0.225298927808273,earlyS,0.402633441352851
DIS3,EXOSC10,0.178909951816734,earlyS,0.210395947405669
EXOSC1,EXOSC4,0.123139285157614,lateS,0.0833798934704064
EXOSC1,EXOSC5,0.206803055591637,lateS,0.349722501583045
EXOSC4,EXOSC5,0.156806313320919,lateS,0.173818303721086
EXOSC1,EXOSC6,0.281225679157822,lateS,0.597906656237196
EXOSC4,EXOSC6,0.24299708215418,lateS,0.477520765821135
EXOSC5,EXOSC6,0.300700631004939,lateS,0.653182850970313
EXOSC1,EXOSC8,0.167596892478534,lateS,0.208533541922747
EXOSC4,EXOSC8,0.158575230663534,lateS,0.178902670689463
EXOSC5,EXOSC8,0.1140929715193,lateS,0.0640853726673372
EXOSC6,EXOSC8,0.264403980361963,lateS,0.546448392744068
EXOSC1,EXOSC9,0.144463788458465,lateS,0.137017171378553
EXOSC4,EXOSC9,0.341922827579832,lateS,0.748389019257273
EXOSC5,EXOSC9,0.278434241130883,lateS,0.589898312660633
EXOSC6,EXOSC9,0.268038463789692,lateS,0.55855402838306
EXOSC8,EXOSC9,0.193030938730109,lateS,0.298748463515477
