bait,prey,distance,stage
PSMA2,PSMD10,0.262052470273559,G1
PSMA3,PSMD10,0.262694802598047,G1
PSMA4,PSMD10,0.524806134415421,G1
PSMA5,PSMD10,0.317673411483125,G1
PSMA6,PSMD10,0.407471470891955,G1
PSMA7,PSMD10,0.319201810466156,G1
PSMB1,PSMD10,0.284306344686688,G1
PSMB10,PSMD10,1.15637043723194,G1
PSMB2,PSMD10,0.337793845865638,G1
PSMB3,PSMD10,0.40520016502704,G1
PSMB4,PSMD10,0.347847502773426,G1
PSMB5,PSMD10,0.396675856503567,G1
PSMB6,PSMD10,0.326204315839381,G1
PSMB7,PSMD10,0.359202394360118,G1
PSMB9,PSMD10,0.0871639588995873,G1
PSMC1,PSMD10,0.245411088368236,G1
PSMC2,PSMD10,0.244560284947232,G1
PSMC3,PSMD10,0.271295097549179,G1
PSMC4,PSMD10,0.288690226869204,G1
PSMC5,PSMD10,0.318158256683737,G1
PSMC6,PSMD10,0.404644013822602,G1
PSMD1,PSMD10,0.37753575186706,G1
PSMA1,PSMD11,0.687460243592487,G1
PSMA2,PSMD11,0.609436411038326,G1
PSMA3,PSMD11,0.805274201030084,G1
PSMA4,PSMD11,0.777578855723305,G1
PSMA5,PSMD11,0.660716498317992,G1
PSMA6,PSMD11,0.800395085445595,G1
PSMA7,PSMD11,0.678849263518521,G1
PSMB1,PSMD11,0.773492215054268,G1
PSMB10,PSMD11,1.60106157919369,G1
PSMB2,PSMD11,0.751731929201861,G1
PSMB3,PSMD11,0.789795388982301,G1
PSMB4,PSMD11,0.737598574619268,G1
PSMB5,PSMD11,0.803382517785286,G1
PSMB6,PSMD11,0.743367482891313,G1
PSMB7,PSMD11,0.845193023501763,G1
PSMB9,PSMD11,1.59113240563564,G1
PSMC1,PSMD11,0.179086406900435,G1
PSMC2,PSMD11,0.132795107504113,G1
PSMC3,PSMD11,0.268366643975817,G1
PSMC4,PSMD11,0.0939810026431278,G1
PSMC5,PSMD11,0.134579747112204,G1
PSMC6,PSMD11,0.236361198253143,G1
PSMD1,PSMD11,0.35368082150884,G1
PSMD10,PSMD11,0.278156189968015,G1
PSMA1,PSMD12,0.867629601800402,G1
PSMA2,PSMD12,0.800261884521941,G1
PSMA3,PSMD12,0.969756351549656,G1
PSMA4,PSMD12,0.72804278374956,G1
PSMA5,PSMD12,0.625185759137853,G1
PSMA6,PSMD12,1.01089004533824,G1
PSMA7,PSMD12,0.778156845347105,G1
